date,open,close,high,low,volume,amount
2025-07-02,154.2,155.68,157.8,154.06,23212.0,362948143.0
2025-07-03,155.6,158.44,161.19,155.6,22397.0,355734739.0
2025-07-04,157.96,156.18,158.4,154.5,21331.0,334152271.0
2025-07-07,156.0,153.6,156.18,152.12,15127.0,232657313.0
2025-07-08,153.6,153.95,155.39,153.1,16806.0,258883475.0
2025-07-09,155.15,150.0,155.15,149.48,36492.0,551370236.0
2025-07-10,150.0,148.78,151.02,148.2,25070.0,373649421.0
2025-07-11,148.86,148.61,151.36,148.02,30780.0,460573059.0
2025-07-14,151.28,162.89,166.47,151.28,90412.0,1447437594.0
2025-07-15,162.15,163.7,164.5,161.11,49351.0,806971549.0
2025-07-16,163.69,161.22,165.8,160.7,31346.0,508996262.0
2025-07-17,161.41,166.8,168.77,161.01,45701.0,760435227.0
2025-07-18,167.49,163.08,168.88,163.0,28163.0,462829835.0
2025-07-21,162.8,160.26,163.5,159.12,26948.0,431678633.0
2025-07-22,160.62,159.82,160.97,158.42,26149.0,417046058.0
2025-07-23,159.82,162.21,164.87,159.81,35845.0,584354554.0
2025-07-24,162.3,161.3,162.65,159.78,27606.0,443552540.0
2025-07-25,160.9,166.0,167.49,160.66,45634.0,748966653.0
2025-07-28,166.37,168.92,172.5,166.01,50136.0,852872092.0
2025-07-29,168.75,179.87,181.88,168.1,66998.0,1180856324.0
2025-07-30,177.53,176.8,179.6,175.7,32293.0,573518837.0
2025-07-31,175.96,173.36,179.79,172.6,37654.0,661022669.0
2025-08-01,173.8,172.4,176.97,170.52,26597.0,460056716.0
2025-08-04,171.13,178.27,180.0,170.72,40385.0,716968078.0
2025-08-05,178.35,179.1,185.0,178.27,37357.0,675325941.0
2025-08-06,179.35,178.46,180.6,177.11,26395.0,470840043.0
2025-08-07,179.0,177.26,179.97,176.17,24620.0,437520852.0
2025-08-08,178.28,177.02,179.24,176.64,20129.0,358080859.0
2025-08-11,178.5,178.1,179.9,175.59,21166.0,376700113.0
2025-08-12,178.0,181.38,187.78,177.08,48972.0,901510770.0
2025-08-13,181.81,179.34,184.38,178.1,38348.0,693997238.0
2025-08-14,178.36,175.86,179.34,175.0,39024.0,690270578.0
2025-08-15,176.48,182.95,183.6,176.48,48844.0,880979502.0
2025-08-18,197.58,209.04,211.5,194.21,116607.0,2387591664.0
2025-08-19,208.0,206.7,208.21,200.88,66622.0,1368600259.0
2025-08-20,204.3,204.1,207.7,200.6,47493.0,966281407.0
2025-08-21,204.39,207.48,210.67,203.68,51589.0,1072576115.0
2025-08-22,206.53,212.39,214.41,204.17,75046.0,1565058558.0
2025-08-25,215.0,211.78,218.42,208.5,62416.0,1335460045.0
2025-08-26,212.68,208.5,214.99,207.74,42986.0,905024575.0
2025-08-27,208.81,212.36,222.1,208.0,69193.0,1507207113.0
2025-08-28,213.0,211.15,217.75,205.5,61190.0,1289738805.0
2025-08-29,211.0,214.89,217.49,210.02,42513.0,909992579.0
2025-09-01,213.9,212.0,219.8,209.3,49883.0,1064454630.0
2025-09-02,210.0,207.89,213.87,205.12,39270.0,820135231.0
2025-09-03,208.95,208.96,215.0,206.03,32022.0,673178041.0
2025-09-04,208.23,202.9,208.23,196.02,59493.0,1198804184.0
2025-09-05,205.0,210.0,210.88,202.53,42273.0,873784215.0
2025-09-08,209.7,208.81,213.88,207.45,46080.0,967667686.0
2025-09-09,209.44,206.28,212.0,205.03,28934.0,601071433.0
2025-09-10,206.16,206.1,207.88,204.13,23459.0,482793032.0
2025-09-11,205.78,201.5,206.5,197.51,56372.0,1130400553.0
2025-09-12,202.41,197.0,204.66,197.0,47728.0,956775698.0
2025-09-15,198.68,202.68,206.49,195.17,44318.0,891363376.0
2025-09-16,202.9,204.14,205.02,200.5,39039.0,790974427.0
2025-09-17,206.0,218.0,219.53,205.5,59099.0,1270565701.0
2025-09-18,217.83,212.43,219.09,209.51,51271.0,1103656743.0
2025-09-19,212.43,211.49,216.0,210.5,28748.0,613230739.0
2025-09-22,208.96,200.22,210.5,195.0,77283.0,1541900840.0
2025-09-23,200.64,200.35,203.0,196.1,42313.0,841806636.0
2025-09-24,198.66,201.2,204.17,198.01,39056.0,788853792.0
2025-09-25,202.44,210.25,214.9,201.04,48019.0,1007617520.0
2025-09-26,209.27,208.61,211.34,207.43,30809.0,645157981.0
2025-09-29,208.65,209.23,212.4,205.83,34838.0,726481663.0
2025-09-30,208.19,209.78,211.8,207.31,27515.0,576286870.0
2025-10-09,210.23,202.8,212.0,199.86,50792.0,1031007205.0
2025-10-10,202.75,197.79,205.8,197.02,43664.0,881191377.0
2025-10-13,191.0,187.5,192.0,183.1,60861.0,1138272954.0
2025-10-14,190.06,183.59,191.15,183.02,47916.0,888980424.0
2025-10-15,183.16,184.38,185.98,180.79,34386.0,630402120.0
2025-10-16,184.0,179.0,185.53,178.31,40913.0,739054745.0
2025-10-17,179.07,173.0,180.5,172.56,35962.0,632111526.0
